a,G,B,I,Label (a)
3.166666667,132,125.5,320,6.043333333
4.5,133,125.8333333,260,5.291666667
3.666666667,130.3333333,122.8333333,320,4.596666667
2.333333333,156.8333333,151.8333333,285,5.345
5.166666667,146.1666667,138.1666667,320,5.425
11.33333333,138,124,320,7.356666667
8.166666667,124,114.8333333,205,5.838333333
10,133,122.5,320,6.643333333
4.166666667,137,127.6666667,325,6.056666667
6,134.3333333,128.3333333,320,6.563333333
6,110,93.66666667,240,7.286666667
7.5,139.1666667,129.8333333,200,5.576666667
4.666666667,132.1666667,126.6666667,225,6.135
7.333333333,138.8333333,131.3333333,225,5.71
8.5,128.8333333,121,260,6.526666667
5.5,111.1666667,94.5,500,10.69
5.833333333,121.3333333,106.3333333,450,9.211666667
4.666666667,96.33333333,87.83333333,360,9.351666667
5,122.5,108.8333333,360,8.661666667
5.166666667,141,137.3333333,320,3.153333333
8,148,143.8333333,225,3.392
6.5,136.3333333,133,260,3.445
4.333333333,146.1666667,142.5,240,2.153333333
7.666666667,158.8333333,155,285,3.978333333
11,156,152.6666667,640,5.771666667
